Data;Cod articol;Denumire articol;Locatie sursa;Locatie destinatie;Palet sursa;Palet destinatie;Numar comanda;Depozit;Partener;Tip operatiune;Cantitate;Persoana;Cod-motiv;Document intrare;Document comanda;Lot;UM;Proprietar;Detalii
07/05/2026 13:36:21;40003;ETICHETE DIRECT TERMICE 90x60MM;DEPAMB;DEPAMB;;;0032068_EV;Depozit Principal;;Ajustare negativa;-38;Razvan Nistor;PRODUCTION-IN;0032068_EV;0032068_EV;31.03.26;BUCATA;Oceanis Seafood Europa S.R.L.;Order production number: EVICERARE 0032068_EV
07/05/2026 13:42:37;40003;ETICHETE DIRECT TERMICE 90x60MM;DEPAMB;DEPAMB;;;0032070_EV;Depozit Principal;;Ajustare negativa;-19;Razvan Nistor;PRODUCTION-IN;0032070_EV;0032070_EV;31.03.26;BUCATA;Oceanis Seafood Europa S.R.L.;Order production number: EVICERARE 0032070_EV
07/05/2026 13:46:16;40003;ETICHETE DIRECT TERMICE 90x60MM;DEPAMB;DEPAMB;;;0032072_EV;Depozit Principal;;Ajustare negativa;-28.5;Razvan Nistor;PRODUCTION-IN;0032072_EV;0032072_EV;31.03.26;BUCATA;Oceanis Seafood Europa S.R.L.;Order production number: EVICERARE 0032072_EV
07/05/2026 13:51:10;60001;GAZ ALIMENTAR ALISOL;DEPAMB;DEPAMB;;;0032074_EV;Depozit Principal;;Ajustare negativa;-0.72;Razvan Nistor;PRODUCTION-IN;0032074_EV;0032074_EV;260423;M3;Oceanis Seafood Europa S.R.L.;Order production number: EVICERARE 0032074_EV
07/05/2026 13:51:11;40003;ETICHETE DIRECT TERMICE 90x60MM;DEPAMB;DEPAMB;;;0032074_EV;Depozit Principal;;Ajustare negativa;-76;Razvan Nistor;PRODUCTION-IN;0032074_EV;0032074_EV;31.03.26;BUCATA;Oceanis Seafood Europa S.R.L.;Order production number: EVICERARE 0032074_EV
07/05/2026 13:51:11;10002;CUTIE FRESH DIM INTERIOARA 342x342x208MM;DEPAMB;DEPAMB;;;0032074_EV;Depozit Principal;;Ajustare negativa;-8.16;Razvan Nistor;PRODUCTION-IN;0032074_EV;0032074_EV;260506;BUCATA;Oceanis Seafood Europa S.R.L.;Order production number: EVICERARE 0032074_EV
07/05/2026 13:55:51;60001;GAZ ALIMENTAR ALISOL;DEPAMB;DEPAMB;;;0032076_EV;Depozit Principal;;Ajustare negativa;-0.27;Razvan Nistor;PRODUCTION-IN;0032076_EV;0032076_EV;260423;M3;Oceanis Seafood Europa S.R.L.;Order production number: EVICERARE 0032076_EV
07/05/2026 13:55:52;40003;ETICHETE DIRECT TERMICE 90x60MM;DEPAMB;DEPAMB;;;0032076_EV;Depozit Principal;;Ajustare negativa;-28.5;Razvan Nistor;PRODUCTION-IN;0032076_EV;0032076_EV;31.03.26;BUCATA;Oceanis Seafood Europa S.R.L.;Order production number: EVICERARE 0032076_EV
07/05/2026 13:55:52;10002;CUTIE FRESH DIM INTERIOARA 342x342x208MM;DEPAMB;DEPAMB;;;0032076_EV;Depozit Principal;;Ajustare negativa;-3.06;Razvan Nistor;PRODUCTION-IN;0032076_EV;0032076_EV;260506;BUCATA;Oceanis Seafood Europa S.R.L.;Order production number: EVICERARE 0032076_EV
07/05/2026 13:59:44;60001;GAZ ALIMENTAR ALISOL;DEPAMB;DEPAMB;;;0032078_AE;Depozit Principal;;Ajustare negativa;-0.63;Razvan Nistor;PRODUCTION-IN;0032078_AE;0032078_AE;260423;M3;Oceanis Seafood Europa S.R.L.;Order production number: AMBALARE - ETICHETARE 0032078_AE
